product name,bundle flag,no of units,total price,unit price
"Switchle Organic Sparkling Apple Cider Vinegar Drink 12 ct (Matcha, Lime & Mint)",1,12,23.99,1.9991666666666665
Jarritos Mexican Soft Soda Drink 12oz Glass Bottle Variety Pack (Party Pack 12 Ct),1,12,41.99,3.499166666666667
Melba's Fixins Sweet Southern Pies Variety 6-Pack,1,6,28.99,4.831666666666666
"Zevia Zero Calorie Soda, Cola, 16 Ounce Cans (Pack of 12)",1,12,12.51,1.0425
"Dr Pepper & Cream Soda, 12 fl oz cans, 12 pack",1,12,nan,
"Sangaria Ramune Original, 6.76 Fluid Ounce (Pack of 6)",1,6,22.99,3.8316666666666666
"Pepsi, Cola, 12 oz (pack of 12)",1,12,nan,
"Diet Pepsi, 12 ounce Cans (pack of 24)",1,24,nan,
"Cheerwine Cherry Fridge Pack Soft Drink, 12 Ounce (12 Cans)",1,12,18.98,1.5816666666666668
"Coca-Cola Mini-Cans, 7.5 fl oz (Pack of 24)",1,24,nan,
"A&W Root Beer, Soft Drink Soda, 12 Fl Oz Can (Pack of 15, Total of 180 Fl Oz)",1,15,21.08,1.4053333333333333
Ironbeer 6PK 12 OZ,1,6,14.99,2.4983333333333335
"Hapi Aloe Vera Drink, Original, 16.9 Ounce (Pack of 20)",1,20,39.61,1.9805
Canada Dry Zero Sugar Ginger Ale and Lemonade Soda Soft Drink Cans - 2 Cases (24 Cans),1,unknown,34.55,unknown
"Sprite Lemon Lime Soda Soft Drinks, 12 Fl Oz per can, 24 Pack, 288 Fl Oz",1,24,nan,
"OLIPOP - 5-Flavor Soda Variety Pack, Healthy Soda Sampler, Prebiotic Soft Drinks, Supports Digestive Health & Gut Health, 9g of Dietary Plant Fiber, Low Calorie, Low Sugar, Vegan (12 oz, 10-Pack)",1,unknown,31.95,unknown
"Kutztown Sarsaparilla Soda in Glass Bottles, 12 Oz. (Pack of 4 Bottles)",1,4,24.50,6.125
"Diet 7UP Lemon Lime Soda, Zero Calories and Caffeine Free, 12 Fl Oz Cans (pack of 12)",1,12,nan,
"Diet Dr Pepper, 12 fl oz cans (Pack of 12)",1,12,nan,
Nehi Grape Soda 12oz-long neck bottle,0,1,4.99,4.99
"Sprite Lemon Lime Soda Soft Drinks, 12 fl oz, 6 Pack",1,6,14.49,2.415
"Jarritos Mexican Soft Soda Drink, Grapefruit, Mandarin, Lime - Variety Pack, 12.5oz Glass Bottle (Pack of 6, Total of 75 Fl Oz)",1,6,20.99,3.498333333333333
"Coke Cola Diet, 12 Fl Oz 12 Cans - 2 packs by Diet Coke",1,12,27.90,2.3249999999999997
"7-UP Diet Cherry Soft Drink, 12 Fl Oz (Pack of 24)",1,24,nan,
"16 Soda Variety Pack, a Soft Drink Assortment of Coca-Cola, Pepsi, Sprite, Mountain Dew, Dr. Pepper, Sunkist, Canada Dry Ginger Ale, Brisk Ice Tea, Care Package Bundle of Beverage Mix Pop - by Murai",1,unknown,31.99,unknown
"Assortment of DIET Soda, Diet Coke, Diet Pepsi, Diet Dr Pepper, Diet Mountain Dew, Sprite Zero, and Diet Ginger Ale Drinks Refrigerator Restock Kit (Pack of 12)",1,12,14.57,1.2141666666666666
"7-UP Diet Soda Soft Drink, 12 Fl Oz (Pack of 24)",1,24,25.69,1.0704166666666668
"Big Red Soda Soft Drink, 12 Fl Oz (Pack of 24)",1,24,27.25,1.1354166666666667
"Zevia Zero Calorie Soda, Cola, 12 oz, (10 Pack)",1,10,21.18,2.118
