,0,1,2
61,"Coca-Cola Mini-Cans, 7.5 fl oz (Pack of 24)",1,24
62,"A&W Root Beer, Soft Drink Soda, 12 Fl Oz Can (Pack of 15, Total of 180 Fl Oz)",1,15
63,Ironbeer 6PK 12 OZ,1,6
64,"Hapi Aloe Vera Drink, Original, 16.9 Ounce (Pack of 20)",1,20
65,Canada Dry Zero Sugar Ginger Ale and Lemonade Soda Soft Drink Cans - 2 Cases (24 Cans),1,unknown
66,"Sprite Lemon Lime Soda Soft Drinks, 12 Fl Oz per can, 24 Pack, 288 Fl Oz",1,24
67,"OLIPOP - 5-Flavor Soda Variety Pack, Healthy Soda Sampler, Prebiotic Soft Drinks, Supports Digestive Health & Gut Health, 9g of Dietary Plant Fiber, Low Calorie, Low Sugar, Vegan (12 oz, 10-Pack)",1,unknown
68,"Kutztown Sarsaparilla Soda in Glass Bottles, 12 Oz. (Pack of 4 Bottles)",1,4
69,"Diet 7UP Lemon Lime Soda, Zero Calories and Caffeine Free, 12 Fl Oz Cans (pack of 12)",1,12
70,"Diet Dr Pepper, 12 fl oz cans (Pack of 12)",1,12
71,Nehi Grape Soda 12oz-long neck bottle,0,1
72,"Sprite Lemon Lime Soda Soft Drinks, 12 fl oz, 6 Pack",1,6
73,"Jarritos Mexican Soft Soda Drink, Grapefruit, Mandarin, Lime - Variety Pack, 12.5oz Glass Bottle (Pack of 6, Total of 75 Fl Oz)",1,6
74,"Coke Cola Diet, 12 Fl Oz 12 Cans - 2 packs by Diet Coke",1,2
75,"7-UP Diet Cherry Soft Drink, 12 Fl Oz (Pack of 24)",1,24
76,"16 Soda Variety Pack, a Soft Drink Assortment of Coca-Cola, Pepsi, Sprite, Mountain Dew, Dr. Pepper, Sunkist, Canada Dry Ginger Ale, Brisk Ice Tea, Care Package Bundle of Beverage Mix Pop - by Murai",1,unknown
77,"Assortment of DIET Soda, Diet Coke, Diet Pepsi, Diet Dr Pepper, Diet Mountain Dew, Sprite Zero, and Diet Ginger Ale Drinks Refrigerator Restock Kit (Pack of 12)",1,12
78,"7-UP Diet Soda Soft Drink, 12 Fl Oz (Pack of 24)",1,24
79,"Big Red Soda Soft Drink, 12 Fl Oz (Pack of 24)",1,24
80,"Zevia Zero Calorie Soda, Cola, 12 oz, (10 Pack)",1,10
81,Ultimate Cream Soda Sampler - Premium Cream Soda Variety Mix Case - Gourmet Sodas from All Around the Country - 12oz (12-Pack),1,12
82,Mountain Dew Major Melon Watermelon Flavor Soda Soft Drink - 2 Cases (24 Cans),1,24
83,Coca Cola Original Classic Coke Soda Mini Cans Soft Drink - 30 Pck (7.5 fl oz),1,unknown
84,SUMOL Fruit de La Passion Can Soda 12 Pack / Passion Fruit Soft Drink Can 12 Pack.,1,12
85,"Diet Coke, 12 fl oz, 24 Pack (Package May Vary)",1,24
86,"Coca-Cola Drink Cans, 12 Fl. Oz. (Pack Of 35)",1,35
87,"Orange Vanilla Coke Coca-Cola Soda Drink, 20oz Bottles (Pack of 12, Total of 240 Fl OZ)",1,12
88,"Soda Variety Pack (12 Cans) Bundle of Coke, Pepsi Cola, Dr Pepper, Mountain Dew, Sprite and Canada Dry Ginger Ale Soft Drinks, Mini Fridge Organizer Can Restock Kit",1,unknown
89,"OLIPOP - Classic Root Beer Sparkling Tonic, Healthy Soda, Prebiotic Soft Drink, Aids Digestive Health, Contains Prebiotics & 9g of Plant Fiber, Caffeine Free, Low Calorie, Low Sugar (12 oz, 12-Pack)",1,12
90,"Mountain Dew Soda, 7.5 Ounce Mini Cans, 10 Pack",1,10
91,"STUBBORN SODA Cans, (Pack of 12) Classic Root Beer 144 Fl Oz",1,12
92,"Faygo Rock & Rye flavored cream cola soda, made with 100% cane sugar, 12-fl. oz., 6-pack",1,6
93,"Big Red Soda Soft Drink, 20-Ounce (Pack of 24)",1,24
94,"Coke Zero Sugar Cola Soda, 16.9 oz, 6 Pack (Package May Vary)",1,6
95,"SodaStream Diet Energy, 440ml 4-Pack",1,4
96,"IZZE Sparkling Juice, Clementine, 12 Fl Oz (pack of 4)",1,4
97,"Kimura Ramune Japanese Marble Soft Drink, Lychee, 6.76 Ounce",0,1
98,"Virgil's, Root Beer, 12 Fl Oz each (pack of 4)",1,4
99,Nehi Grape Soda 12oz-long neck bottle,0,1
100,"Calpico Soft Drink, Peach, 50.67-Ounce (Pack of 2)",1,2
